CULTIVOS;MEDIA-superficie;2021-superficie;2022-superficie;Variacion-100-superficie;MEDIA-produccion;2021-produccion;2022-produccion;Variacion-100-produccion
 ALGARROBA (GARROFA);18.363;17.179;17.244;100,4;10.517;12.699;13.869;109,2
CEREALES PARA GRANO;;;;;;;;
ARROZ (CÁSCARA);337;435;414;95,2;1.208;1.193;794;66,6
TRIGO;1.427;1.570;1.482;94,4;3.536;5.651;3.482;61,6
CEBADA;3.329;3.020;2.574;85,2;5.978;8.459;4.616;54,6
MAÍZ;267;71;200;281,7;2.658;852;2.399;281,6
TUBÉRCULOS C. HUMANO;;;;;;;;
PATATA TOTAL;740;934;946;101,3;18.442;26.075;20.034;76,8
CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;2.005;2.411;2.651;110;27.301;34.538;38.485;111,4
BERENJENA;68;57;50;87,7;3.358;2.990;2.620;87,6
BRÓCULI;2.215;3.036;2.945;97;47.174;65.578;63.097;96,2
CEBOLLA;479;404;457;113,1;17.355;17.118;19.404;113,4
COL Y REPOLLO;199;321;366;114;6.607;13.278;16.018;120,6
COLIFLOR;362;472;547;115,9;8.893;11.800;13.675;115,9
ESCAROLA;206;190;165;86,8;6.279;6.270;5.445;86,8
ESPINACA;254;225;170;75,6;6.094;5.625;3.740;66,5
HABA VERDE;464;408;367;90;5.122;4.896;4.404;90
JUDÍA VERDE;54;42;42;100;616;630;630;100
LECHUGA;1.005;1.159;861;74,3;29.961;40.410;27.164;67,2
MELÓN;1.047;978;848;86,7;27.875;30.765;25.487;82,8
PEPINO;67;55;46;83,6;3.143;2.850;2.380;83,5
PIMIENTO;297;413;421;101,9;32.723;44.650;28.450;63,7
SANDÍA;249;318;308;96,9;12.360;21.306;14.445;67,8
TOMATE;516;422;386;91,5;51.496;43.845;37.294;85,1
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
ALFALFA;1.144;832;837;100,6;70.046;53.195;50.122;94,2
FLORES (1);97;60;59;98,3;4.801;2.274;2.224;97,8
P. ORNAMENTAL (1);380;344;418;121,5;10.631;17.407;23.163;133,1
CÍTRICOS (2);;;;;;;;
NARANJO DULCE;12.879;10.024;9.951;99,3;272.472;225.859;185.704;82,2
MANDARINO;6.972;7.320;6.799;92,9;124.740;156.213;128.454;82,2
LIMONERO;11.129;16.088;16.990;105,6;265.212;263.543;240.572;91,3
FRUTALES;;;;;;;;
MANZANA;590;393;381;96,9;6.951;4.899;3.152;64,3
PERA;276;141;127;90,1;3.564;1.733;1.362;78,6
NÍSPERO;934;856;908;106,1;14.623;14.868;12.804;86,1
ALBARICOQUE;464;597;615;103;3.132;6.584;1.385;21
CEREZA;2.005;1.871;1.948;104,1;4.568;5.977;1.838;30,8
MELOCOTÓN (3);504;429;434;101,2;4.667;4.084;2.328;57
CIRUELA;449;331;331;100;3.881;1.598;1.713;107,2
GRANADA;2.783;3.044;3.031;99,6;41.589;51.912;50.091;96,5
CAQUI;46;87;87;100;313;960;175;18,2
AGUACATE;181;363;497;136,9;1.196;2.187;1.502;68,7
ALMENDRA;23.340;22.503;22.174;98,5;13.998;14.716;7.927;53,9
VIÑEDO;;;;;;;;
UVA DE MESA;5.539;5.264;5.091;96,7;87.773;99.748;96.980;97,2
UVA DE VINIFICACIÓN;11.467;10.246;10.295;100,5;32.860;29.018;28.934;99,7
VINO+MOSTO (4);;;;;245,4;215;214,2;99,7
OLIVAR;;;;;;;;
OLIVO;27.898;29.563;29.250;98,9;40.919;45.038;28.237;62,7
ACEITE DE OLIVA;;;;;8.447;8.404;5.624;66,9
OTROS CUTIVOS LEÑOSOS;;;;;;;;
ALGARROBA (GARROFA);848;729;765;104,9;974;941;943;100,2
CEREALES PARA GRANO;;;;;;;;
 ARROZ;153;153;148;96,7;1.162;1.190;1.020;85,7
 TRIGO;798;700;720;102,9;1.415;1.536;1.117;72,7
 CEBADA;3.797;3.038;2.877;94,7;5.293;5.795;3.890;67,1
 MAÍZ;112;104;64;61,5;427;347;233;67,1
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;504;431;437;101,4;10.554;11.013;10.941;99,3
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.058;1.140;1.175;103,1;16.271;13.771;17.214;125
BERENJENA;70;71;92;129,6;1.728;1.768;2.625;148,5
BRÓCULI;66;97;209;215,5;1.441;1.935;4.389;226,8
CEBOLLA;222;206;206;100;5.114;4.435;4.683;105,6
COL Y REPOLLO;237;484;542;112;7.852;15.178;17.885;117,8
COLIFLOR;361;358;301;84,1;9.205;8.503;7.465;87,8
ESCAROLA;118;229;257;112,2;2.632;4.580;6.425;140,3
ESPINACA;19;10;10;100;371;214;225;105,1
HABA VERDE;72;60;62;103,3;672;531;558;105,1
JUDÍA VERDE;275;250;127;50,8;4.619;4.188;2.406;57,4
LECHUGA;573;385;386;100,3;11.327;7.629;9.335;122,4
MELÓN;456;292;251;86;9.083;6.725;5.949;88,5
PEPINO;69;69;69;100;1.803;2.190;2.190;100
PIMIENTO;131;114;125;109,6;2.870;2.569;3.238;126
SANDÍA;510;442;358;81;10.812;9.744;9.876;101,4
TOMATE;534;491;493;100,4;14.989;15.461;17.115;110,7
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;258;345;321;93;6.234;6.345;5.835;92
 FLORES (1);5;5;5;100;257;125;125;100
 P. ORNAMENTAL (1);192;370;438;118,4;12.780;31.529;41.462;131,5
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;5.972;6.421;6.979;108,7;118.609;119.945;124.083;103,4
 MANDARINO;30.351;25.816;24.656;95,5;578.837;451.299;502.235;111,3
 LIMONERO;36;78;87;111,5;667;364;595;163,5
FRUTALES;;;;;;;;
MANZANA;92;77;53;68,8;743;581;385;66,3
PERA;181;148;101;68,2;1.507;1.513;1.032;68,2
NÍSPERO;195;152;133;87,5;746;632;713;112,8
ALBARICOQUE;216;187;141;75,4;1.003;870;804;92,4
CEREZA;668;570;570;100;1.001;871;1.350;155
MELOCOTÓN (3);385;356;316;88,8;2.038;1.731;2.119;122,4
CIRUELA;108;97;80;82,5;618;598;551;92,1
GRANADA;48;115;118;102,6;137;1.494;2.160;144,6
CAQUI;213;159;152;95,6;1.473;2.160;2.025;93,8
AGUACATE;58;575;633;110,1;101;2.100;2.100;100
ALMENDRA;37.478;35.424;34.000;96;8.976;5.682;10.577;186,1
VIÑEDO;;;;;;;;
 UVA DE MESA;107;44;38;86,4;218;110;77;70
 UVA DE VINIFICACIÓN;802;747;731;97,9;1.303;1.438;217;15,1
 VINO+MOSTO (4);;;;;4,16;1,96;1,61;81,9
OLIVAR;;;;;;;;
 OLIVO;33.041;32.628;32.173;98,6;32.405;38.285;5.306;13,9
 ACEITE DE OLIVA;;;;;6.671;7.115;920;12,9
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);7.888;7.720;7.725;100,1;3.306;3.650;3.650;100
CEREALES PARA GRANO;;;;;;;;
 ARROZ;14.747;14.694;14.459;98,4;118.712;113.129;89.034;78,7
 TRIGO;2.174;2.619;2.898;110,7;4.139;8.487;5.332;62,8
 CEBADA;9.360;8.314;7.634;91,8;17.348;26.665;15.400;57,8
 MAÍZ;200;98;88;89,8;2.370;1.372;1.408;102,6
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;857;1.006;1.019;101,3;29.718;39.997;42.413;106
 CHUFA;495;608;610;100,3;8.149;9.485;9.091;95,8
HORTALIZAS;;;;;;;;
ALCACHOFA;957;1.019;1.027;100,8;13.726;20.372;19.333;94,9
BERENJENA;97;121;119;98,3;5.252;7.568;7.497;99,1
BRÓCULI;44;0;44;0;1.320;0;1.320;0
CEBOLLA;959;1.128;1.121;99,4;52.177;83.273;58.493;70,2
COL Y REPOLLO;663;913;913;100;26.767;38.857;41.028;105,6
COLIFLOR;449;616;616;100;10.253;16.196;16.842;104
ESCAROLA;100;118;118;100;2.959;4.201;4.463;106,2
ESPINACA;176;193;193;100;2.819;3.438;3.509;102,1
HABA VERDE;79;91;91;100;412;539;487;90,4
JUDÍA VERDE;80;90;90;100;1.001;658;1.305;198,3
LECHUGA;433;467;467;100;15.719;21.031;20.986;99,8
MELÓN;114;104;102;98,1;3.560;4.186;3.672;87,7
PEPINO;20;23;23;100;1.242;1.305;1.345;103,1
PIMIENTO;327;364;372;102,2;16.121;23.660;24.180;102,2
SANDÍA;893;817;835;102,2;41.884;45.420;45.925;101,1
TOMATE;148;188;188;100;6.587;8.626;8.620;99,9
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;312;247;247;100;5.103;3.098;5.798;187,2
 FLORES (1);18;14;14;100;555;552;552;100
 P. ORNAMENTAL (1);1.123;1.156;1.329;115;43.673;48.580;51.034;105,1
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;53.182;54.217;54.718;100,9;1.248.822;1.300.010;1.106.768;85,1
 MANDARINO;42.709;36.391;33.397;91,8;825.874;730.324;596.106;81,6
 LIMONERO;71;226;290;128,3;1.155;1.465;1.663;113,5
FRUTALES;;;;;;;;
MANZANA;194;106;96;90,6;1.892;1.508;786;52,1
PERA;83;32;32;100;492;576;236;41
NÍSPERO;63;49;38;77,6;210;228;513;225
ALBARICOQUE;3.134;2.469;2.225;90,1;11.550;16.841;12.783;75,9
CEREZA;72;81;87;107,4;129;129;125;96,9
MELOCOTÓN (3);4.646;3.184;2.934;92,1;26.929;30.700;25.760;83,9
CIRUELA;1.640;1.055;970;91,9;5.573;10.047;9.411;93,7
GRANADA;498;557;529;95;3.562;5.453;4.473;82
CAQUI;12.748;14.895;14.400;96,7;294.718;422.219;404.885;95,9
AGUACATE;243;1.155;1.180;102,2;709;4.706;9.246;196,5
ALMENDRA;34.864;34.481;35.226;102,2;11.964;12.899;15.282;118,5
VIÑEDO;;;;;;;;
 UVA DE MESA;309;149;188;126,2;814;188;174;92,6
 UVA DE VINIFICACIÓN;48.741;46.443;45.747;98,5;249.798;285.368;281.173;98,5
 VINO+MOSTO (4);;;;;2.234,90;2.338,10;2.220,90;95
OLIVAR;;;;;;;;
 OLIVO;31.433;31.913;31.728;99,4;39.329;46.859;11.156;23,8
 ACEITE DE OLIVA;;;;;7.592;6.223;2.042;32,8
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);9.628;8.730;8.754;100,3;6.238;8.108;9.276;114,4
