CULTIVOS;MEDIA-superficie;2020-superficie;2021-superficie;Variacion-100-superficie;MEDIA-produccion;2020-produccion;2021-produccion;Variacion-100-produccion
 OLIVO;92.281;93.953;94.104;100,2;114.946;134.136;130.182;97,1
 ACEITE DE OLIVA;;-;;;23.724;25.201;21.742;86,3
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);18.698;17.200;17.179;99,9;11.527;13.284;12.699;95,6
CEREALES PARA GRANO;;;;;;;;
ARROZ (CÁSCARA);322;416;435;104,6;1.191;1.174;1.193;101,6
TRIGO;1.422;1.388;1.570;113,1;3.444;4.803;5.651;117,7
CEBADA;3.412;3.008;3.020;100,4;6.040;8.426;8.459;100,4
MAÍZ;271;141;71;50,4;2.784;1.680;852;50,7
TUBÉRCULOS C. HUMANO;;;;;;;;
PATATA TOTAL;699;953;934;98;16.949;25.351;26.075;102,9
CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.990;1.943;2.411;124,1;26.360;29.339;34.538;117,7
BERENJENA;68;57;57;100;3.209;2.990;2.990;100
BRÓCULI;2.141;2.892;3.036;105;44.403;66.516;65.578;98,6
CEBOLLA;466;463;404;87,3;16.311;19.620;17.118;87,2
COL Y REPOLLO;196;158;321;203,2;6.295;6.314;13.278;210,3
COLIFLOR;348;445;472;106,1;8.443;11.125;11.800;106,1
ESCAROLA;203;215;190;88,4;6.103;7.095;6.270;88,4
ESPINACA;240;235;225;95,7;5.810;5.270;5.625;106,7
HABA VERDE;457;480;408;85;4.869;5.760;4.896;85
JUDÍA VERDE;55;46;42;91,3;599;690;630;91,3
LECHUGA;973;1.199;1.159;96,7;28.255;40.034;40.410;100,9
MELÓN;1.027;1.037;978;94,3;27.392;27.595;30.765;111,5
PEPINO;68;60;55;91,7;3.063;3.200;2.850;89,1
PIMIENTO;281;376;413;109,8;30.799;43.120;44.650;103,5
SANDÍA;234;341;318;93,3;11.116;22.847;21.306;93,3
TOMATE;536;410;422;102,9;53.346;43.125;43.845;101,7
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
ALFALFA;1.167;773;832;107,6;70.560;49.714;53.195;107
FLORES (1);101;78;60;76,9;5.257;1.936;2.274;117,5
P. ORNAMENTAL (1);388;344;344;100;9.610;19.344;17.407;90
CÍTRICOS (2);;;;;;;;
NARANJO DULCE;13.372;10.223;10.024;98,1;282.892;219.014;222.108;101,4
MANDARINO;6.856;7.512;7.320;97,4;126.538;135.614;156.213;115,2
LIMONERO;10.657;14.836;16.088;108,4;253.175;302.393;266.250;88
FRUTALES;;;;;;;;
MANZANA;620;419;393;93,8;7.309;3.831;4.899;127,9
PERA;300;151;141;93,4;3.858;1.933;1.733;89,7
NÍSPERO;959;806;856;106,2;15.087;12.466;14.868;119,3
ALBARICOQUE;423;617;597;96,8;2.962;3.671;6.584;179,4
CEREZA;1.993;1.850;1.871;101,1;4.550;1.824;5.977;327,7
MELOCOTÓN (3);502;429;429;100;4.717;3.828;4.084;106,7
CIRUELA;475;331;331;100;4.200;2.375;1.598;67,3
GRANADA;2.677;3.013;3.044;101;39.565;45.120;51.912;115,1
CAQUI;38;78;87;111,5;282;325;960;295,4
AGUACATE;160;295;363;123,1;1.047;2.025;2.187;108
ALMENDRA;23.657;22.861;22.503;98,4;14.422;12.073;14.716;121,9
VIÑEDO;;;;;;;;
UVA DE MESA;5.671;5.248;5.264;100,3;84.390;111.251;99.748;89,7
UVA DE VINIFICACIÓN;11.835;10.294;10.246;99,5;34.073;33.737;29.018;86
VINO+MOSTO (4);;;;;254;258,1;214,7;83,2
OLIVAR;;;;;;;;
OLIVO;27.790;29.013;29.563;101,9;39.936;48.307;45.038;93,2
ACEITE DE OLIVA;;;;;8.359;9.253;8.404;90,8
OTROS CUTIVOS LEÑOSOS;;;;;;;;
ALGARROBA (GARROFA);889;715;729;102;1.037;784;941;120
CEREALES PARA GRANO;;;;;;;;
 ARROZ;153;153;153;100;1.141;1.188;1.190;100,2
 TRIGO;786;795;700;88,1;1.408;1.741;1.536;88,2
 CEBADA;3.864;3.013;3.038;100,8;5.260;6.131;5.795;94,5
 MAÍZ;106;100;104;104;398;352;347;98,6
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;531;444;431;97,1;10.621;11.173;11.013;98,6
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.087;1.055;1.140;108,1;16.239;15.134;13.771;91
BERENJENA;69;73;71;97,3;1.623;2.093;1.768;84,5
BRÓCULI;62;91;97;106,6;1.381;1.815;1.935;106,6
CEBOLLA;218;229;206;90;5.117;4.929;4.435;90
COL Y REPOLLO;206;465;484;104,1;6.702;15.249;15.178;99,5
COLIFLOR;358;351;358;102;9.476;8.336;8.503;102
ESCAROLA;97;270;229;84,8;2.126;6.413;4.580;71,4
ESPINACA;20;11;10;90,9;391;235;214;91,1
HABA VERDE;73;63;60;95,2;725;454;531;117
JUDÍA VERDE;275;264;250;94,7;4.563;4.656;4.188;89,9
LECHUGA;606;389;385;99;11.983;8.466;7.629;90,1
MELÓN;502;298;292;98;9.634;6.863;6.725;98
PEPINO;69;70;69;98,6;1.725;2.218;2.190;98,7
PIMIENTO;136;99;114;115,2;2.852;2.461;2.569;104,4
SANDÍA;520;458;442;96,5;10.625;11.976;9.744;81,4
TOMATE;534;507;491;96,8;14.217;16.774;15.461;92,2
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;235;354;345;97,5;5.972;6.818;6.345;93,1
 FLORES (1);6;5;5;100;303;135;125;92,6
 P. ORNAMENTAL (1);164;360;370;102,8;10.692;29.193;31.529;108
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;5.886;6.486;6.421;99;116.827;119.601;119.219;99,7
 MANDARINO;31.097;27.079;25.816;95,3;570.006;659.041;451.299;68,5
 LIMONERO;33;71;78;109,9;813;324;364;112,3
FRUTALES;;;;;;;;
MANZANA;96;74;77;104,1;784;636;581;91,4
PERA;192;148;148;100;1.584;1.506;1.513;100,5
NÍSPERO;203;153;152;99,3;716;699;632;90,4
ALBARICOQUE;222;187;187;100;1.052;699;870;124,5
CEREZA;687;559;570;102;1.164;207;871;420,8
MELOCOTÓN (3);393;352;356;101,1;2.073;1.826;1.731;94,8
CIRUELA;109;100;97;97;620;616;598;97,1
GRANADA;38;103;115;111,7;106;311;1.494;480,4
CAQUI;219;165;159;96,4;1.349;1.850;2.160;116,8
AGUACATE;30;282;575;203,9;50;522;2.100;402,3
ALMENDRA;37.688;36.324;35.424;97,5;9.959;5.974;5.682;95,1
VIÑEDO;;;;;;;;
 UVA DE MESA;113;66;44;66,7;222;168;110;65,5
 UVA DE VINIFICACIÓN;846;774;747;96,5;1.276;1.466;1.438;98,1
 VINO+MOSTO (4);;;;;4,31;2,89;1,96;67,8
OLIVAR;;;;;;;;
 OLIVO;33.133;32.743;32.628;99,6;33.120;42.831;38.285;89,4
 ACEITE DE OLIVA;;;;;7.169;7.913;7.115;89,9
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);7.921;7.761;7.720;99,5;3.462;4.402;3.650;82,9
CEREALES PARA GRANO;;;;;;;;
 ARROZ;14.738;14.878;14.694;98,8;119.003;112.486;113.129;100,6
 TRIGO;2.076;2.421;2.619;108,2;3.730;7.252;8.487;117
 CEBADA;9.406;8.117;8.314;102,4;16.673;25.226;26.665;105,7
 MAÍZ;226;79;98;124,1;2.773;1.182;1.372;116,1
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;807;1.010;1.006;99,6;28.684;24.793;39.997;161,3
 CHUFA;464;649;608;93,7;7.865;9.346;9.485;101,5
HORTALIZAS;;;;;;;;
ALCACHOFA;923;1.022;1.019;99,7;12.771;14.616;20.372;139,4
BERENJENA;90;121;121;100;4.869;7.619;7.568;99,3
BRÓCULI;1;0;0;0;35;0;0;0
CEBOLLA;879;1.120;1.128;100,7;49.488;42.153;83.273;197,5
COL Y REPOLLO;677;552;913;165,4;25.247;34.475;38.857;112,7
COLIFLOR;424;616;616;100;9.563;14.898;16.196;108,7
ESCAROLA;96;119;118;99,2;2.916;2.608;4.201;161,1
ESPINACA;162;192;193;100,5;2.580;3.276;3.438;104,9
HABA VERDE;75;91;91;100;411;455;539;118,5
JUDÍA VERDE;76;90;90;100;978;1.388;658;47,4
LECHUGA;430;464;467;100,6;15.006;19.950;21.031;105,4
MELÓN;111;104;104;100;3.310;4.091;4.186;102,3
PEPINO;19;23;23;100;1.210;1.304;1.305;100,1
PIMIENTO;322;364;364;100;18.007;24.227;23.660;97,7
SANDÍA;925;819;817;99,8;43.090;40.289;45.420;112,7
TOMATE;139;188;188;100;6.300;8.631;8.626;99,9
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;321;247;247;100;5.872;2.910;3.098;106,5
 FLORES (1);19;14;14;100;596;359;552;153,8
 P. ORNAMENTAL (1);1.128;1.057;1.156;109,4;46.161;30.065;48.580;161,6
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;53.359;53.800;54.217;100,8;1.242.525;1.257.229;1.268.010;100,9
 MANDARINO;44.032;36.804;36.391;98,9;848.423;795.860;730.325;91,8
 LIMONERO;60;201;226;112,4;1.120;1.448;1.465;101,2
FRUTALES;;;;;;;;
MANZANA;219;111;106;95,5;1.846;1.646;1.508;91,6
PERA;98;42;32;76,2;494;357;576;161,3
NÍSPERO;62;66;49;74,2;189;344;228;66,3
ALBARICOQUE;3.235;2.790;2.469;88,5;10.577;14.010;16.841;120,2
CEREZA;72;85;81;95,3;132;114;129;113,2
MELOCOTÓN (3);4.886;3.304;3.184;96,4;26.420;25.192;30.700;121,9
CIRUELA;1.746;1.139;1.055;92,6;5.032;9.710;10.047;103,5
GRANADA;443;645;557;86,4;2.993;5.894;5.453;92,5
CAQUI;11.697;15.830;14.895;94,1;261.641;426.433;422.219;99
AGUACATE;159;890;1.155;129,8;529;2.058;4.706;228,7
ALMENDRA;35.321;34.256;34.481;100,7;11.666;11.524;12.899;111,9
VIÑEDO;;;;;;;;
 UVA DE MESA;362;180;149;82,8;894;221;188;85,1
 UVA DE VINIFICACIÓN;49.680;46.808;46.443;99,2;241.068;327.423;285.368;87,2
 VINO+MOSTO (4);;;;;2.152,70;2.622,80;2.338,10;89,1
OLIVAR;;;;;;;;
 OLIVO;31.359;32.197;31.913;99,1;41.891;42.998;46.859;109
 ACEITE DE OLIVA;;;;;8.196;8.035;6.223;77,4
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);9.889;8.724;8.730;100,1;7.028;8.098;8.108;100,1
